Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
335,Armani Rogers,WAS,25,TE,10,3,6,5,83.3%,64,12.8,0,4,23,10.7,0.5,6.4,0,RogeAr00
336,Boston Scott,PHI,27,RB,12,2,5,5,100.0%,15,3.0,0,0,5,3.0,0.4,1.3,0,ScotBo02
337,Pierre Strong,NWE,24,RB,12,0,5,5,100.0%,32,6.4,0,3,16,6.4,0.4,2.7,0,StroPi00
338,Samori Toure,GNB,24,WR,8,2,10,5,50.0%,82,16.4,1,2,37,8.2,0.6,10.3,1,TourSa00
339,Derek Watt,PIT,30,FB,14,3,5,5,100.0%,11,2.2,1,1,5,2.2,0.4,0.8,0,WattDe00
340,Shane Zylstra,DET,26,TE,10,1,6,5,83.3%,27,5.4,1,2,14,4.5,0.5,2.7,0,ZylsSh00
341,Gary Brightwell,NYG,23,RB,14,0,5,4,80.0%,36,9.0,0,4,12,7.2,0.3,2.6,0,BrigGa00
342,Malcolm Brown,LAR,29,RB,8,0,5,4,80.0%,35,8.8,0,2,13,7.0,0.5,4.4,0,BrowMa03
343,Chris Conley,2TM,30,WR,6,0,7,4,57.1%,46,11.5,0,2,27,6.6,0.7,7.7,0,ConlCh00
344,Malik Davis,DAL,24,RB,9,0,5,4,80.0%,40,10.0,0,3,14,8.0,0.4,4.4,0,DaviMa02
345,Tyler Davis,GNB,25,TE,14,1,7,4,57.1%,26,6.5,0,1,23,3.7,0.3,1.9,0,DaviTy02
346,Myles Gaskin,MIA,25,RB,4,0,6,4,66.7%,28,7.0,0,0,16,4.7,1.0,7.0,0,GaskMy00
347,Kenny Golladay,NYG,29,WR,9,3,10,4,40.0%,51,12.8,0,2,15,5.1,0.4,5.7,0,GollKe00
348,Jakob Johnson,LVR,28,FB,14,7,5,4,80.0%,7,1.8,0,0,5,1.4,0.3,0.5,0,JohnJa12
349,Velus Jones Jr.,CHI,25,WR,9,1,7,4,57.1%,27,6.8,1,2,10,3.9,0.4,3.0,3,JoneVe00
350,Tyler Kroft,SFO,30,TE,8,3,5,4,80.0%,57,14.3,0,2,28,11.4,0.5,7.1,0,KrofTy00
351,Jake Kumerow,BUF,30,WR,6,1,7,4,57.1%,64,16.0,0,4,39,9.1,0.7,10.7,0,KumeJa00
352,Marcedes Lewis,GNB,38,TE,14,14,5,4,80.0%,34,8.5,1,3,19,6.8,0.3,2.4,0,LewiMa00
353,Rashaad Penny,SEA,26,RB,5,5,5,4,80.0%,16,4.0,0,2,6,3.2,0.8,3.2,1,PennRa00
354,Teagan Quitoriano,HOU,22,TE,7,5,9,4,44.4%,30,7.5,2,2,13,3.3,0.6,4.3,0,QuitTe00
355,Anthony Schwartz,CLE,22,WR,11,1,10,4,40.0%,51,12.8,0,2,19,5.1,0.4,4.6,1,SchwAn00
356,Stone Smartt,LAC,24,TE,4,1,5,4,80.0%,17,4.3,0,1,8,3.4,1.0,4.3,0,SmarSt00
357,Nick Vannett,2TM,29,,6,1,5,4,80.0%,37,9.3,0,1,15,7.4,0.7,6.2,0,VannNi00
358,Montrell Washington,DEN,23,WR,14,1,9,4,44.4%,2,0.5,0,0,4,0.2,0.3,0.1,5,WashMo00
359,Jordan Wilkins,IND,28,RB,2,0,5,4,80.0%,15,3.8,0,0,9,3.0,2.0,7.5,0,WilkJo01
360,Darrel Williams,ARI,27,RB,6,0,8,4,50.0%,9,2.3,0,0,6,1.1,0.7,1.5,0,WillDa10
361,Stephen Anderson,ARI,29,TE,14,0,5,3,60.0%,9,3.0,0,0,6,1.8,0.2,0.6,0,AndeSt01
362,Andrew Beck,DEN,26,FB,10,4,7,3,42.9%,59,19.7,0,2,27,8.4,0.3,5.9,0,BeckAn01
363,Tevin Coleman,SFO,29,RB,5,0,3,3,100.0%,44,14.7,1,2,30,14.7,0.6,8.8,0,ColeTe01
364,Ross Dwelley,SFO,27,TE,12,0,5,3,60.0%,105,35.0,1,3,56,21.0,0.3,8.8,0,DwelRo00
365,Bryan Edwards,ATL,24,WR,7,1,5,3,60.0%,15,5.0,0,0,10,3.0,0.4,2.1,0,EdwaBr01
366,Ben Ellefson,MIN,26,TE,4,1,3,3,100.0%,26,8.7,0,2,12,8.7,0.8,6.5,0,ElleBe00
367,Chris Evans,CIN,25,RB,12,0,4,3,75.0%,38,12.7,1,2,26,9.5,0.3,3.2,0,EvanCh02
368,Luke Farrell,JAX,25,TE,15,0,3,3,100.0%,29,9.7,0,2,15,9.7,0.2,1.9,0,FarrLu00
369,Simi Fehoko,DAL,25,WR,5,0,4,3,75.0%,24,8.0,0,1,12,6.0,0.6,4.8,0,FehoSi00
370,Ryan Griffin,CHI,32,TE,12,0,6,3,50.0%,24,8.0,0,1,18,4.0,0.3,2.0,0,GrifRy00
371,Troy Hairston,HOU,24,FB,13,4,5,3,60.0%,12,4.0,0,0,5,2.4,0.2,0.9,0,HairTr00
372,Cody Hollister,TEN,29,WR,11,3,5,3,60.0%,54,18.0,0,2,27,10.8,0.3,4.9,0,HollCo00
373,Brycen Hopkins,LAR,25,TE,11,0,6,3,50.0%,31,10.3,0,1,12,5.2,0.3,2.8,0,HopkBr01
374,Jesper Horsted,LVR,25,TE,12,0,4,3,75.0%,19,6.3,0,0,9,4.8,0.3,1.6,0,HorsJe00
375,D'Ernest Johnson,CLE,26,RB,12,0,3,3,100.0%,7,2.3,0,0,7,2.3,0.3,0.6,0,JohnDE04
376,Marcus Jones,NWE,24,DB,13,2,3,3,100.0%,63,21.0,1,2,48,21.0,0.2,4.8,0,JoneMa06
377,Tim Jones,JAX,24,WR,15,1,4,3,75.0%,30,10.0,0,1,20,7.5,0.2,2.0,0,JoneTi00
378,Elijah Mitchell,SFO,24,RB,4,1,4,3,75.0%,7,2.3,0,0,5,1.8,0.8,1.8,0,MitcEl00
379,Ty Montgomery,NWE,29,WR,1,0,4,3,75.0%,15,5.0,1,1,7,3.8,3.0,15.0,0,MontTy01
380,Isaiah Spiller,LAC,21,RB,6,0,3,3,100.0%,13,4.3,0,0,8,4.3,0.5,2.2,0,SpilIs00
381,Mike Strachan,IND,25,WR,10,0,8,3,37.5%,59,19.7,0,3,23,7.4,0.3,5.9,0,StraMi03
382,Tylan Wallace,BAL,23,WR,8,0,6,3,50.0%,21,7.0,0,0,9,3.5,0.4,2.6,0,WallTy00
383,Maxx Williams,ARI,28,TE,8,0,3,3,100.0%,18,6.0,0,0,7,6.0,0.4,2.3,0,WillMa04
384,Michael Woods II,CLE,22,WR,7,0,8,3,37.5%,25,8.3,0,2,15,3.1,0.4,3.6,0,WoodMi00
385,Daylen Baldwin,CLE,23,WR,1,0,2,2,100.0%,25,12.5,0,2,15,12.5,2.0,25.0,0,BaldDa01
386,Kendall Blanton,LAR,27,TE,4,0,2,2,100.0%,35,17.5,0,1,28,17.5,0.5,8.8,0,BlanKe01
387,Miles Boykin,PIT,26,WR,13,0,3,2,66.7%,11,5.5,0,1,11,3.7,0.2,0.8,0,BoykMi00
388,Spencer Brown,CAR,24,RB,2,0,4,2,50.0%,10,5.0,0,0,9,2.5,1.0,5.0,0,BrowSp01
389,Michael Burton,KAN,30,FB,14,0,3,2,66.7%,11,5.5,0,0,9,3.7,0.1,0.8,0,BurtMi00
390,Quintez Cephus,DET,24,WR,4,1,3,2,66.7%,15,7.5,0,1,9,5.0,0.5,3.8,0,CephQu00
391,Julius Chestnut,TEN,22,RB,3,0,2,2,100.0%,8,4.0,0,0,4,4.0,0.7,2.7,0,ChesJu00
392,Corey Clement,ARI,28,RB,6,0,2,2,100.0%,29,14.5,0,2,21,14.5,0.3,4.8,0,ClemCo00
393,Tyrie Cleveland,DEN,25,WR,6,0,7,2,28.6%,28,14.0,0,1,16,4.0,0.3,4.7,0,ClevTy00
394,Jaelon Darden,TAM,23,WR,12,0,2,2,100.0%,26,13.0,0,1,25,13.0,0.2,2.2,0,DardJa00
395,Mike Davis,BAL,29,RB,8,0,2,2,100.0%,4,2.0,0,0,7,2.0,0.3,0.5,1,DaviMi01
396,Trestan Ebner,CHI,23,RB,14,0,6,2,33.3%,8,4.0,0,0,6,1.3,0.1,0.6,2,EbneTr00
397,Demetric Felton,CLE,24,RB,8,2,4,2,50.0%,8,4.0,0,0,5,2.0,0.3,1.0,1,FeltDe00
398,Jalen Guyton,LAC,25,WR,3,0,4,2,50.0%,64,32.0,0,2,54,16.0,0.7,21.3,0,GuytJa01
399,Penny Hart,SEA,26,WR,8,0,2,2,100.0%,18,9.0,0,1,15,9.0,0.3,2.3,0,HartPe01
400,Deonte Harty,NOR,25,WR,4,0,2,2,100.0%,13,6.5,0,0,9,6.5,0.5,3.3,1,HarrDe07
401,Justin Herbert,LAC,24,QB,14,14,2,2,100.0%,-10,-5.0,0,0,-2,-5.0,0.1,-0.7,6,HerbJu00
402,Dennis Houston,DAL,23,WR,2,0,6,2,33.3%,16,8.0,0,0,11,2.7,1.0,8.0,0,HousDe01
403,Lil'Jordan Humphrey,NWE,24,WR,6,2,4,2,50.0%,20,10.0,0,0,11,5.0,0.3,3.3,0,HumpLi01
404,Caleb Huntley,ATL,24,RB,12,0,2,2,100.0%,3,1.5,0,0,2,1.5,0.2,0.3,1,HuntCa02
405,Keaontay Ingram,ARI,23,RB,9,0,2,2,100.0%,23,11.5,0,1,24,11.5,0.2,2.6,0,IngrKe01
406,Andy Isabella,ARI,26,WR,3,0,5,2,40.0%,21,10.5,0,2,11,4.2,0.7,7.0,0,IsabAn00
407,Keith Kirkwood,NOR,28,WR,2,1,2,2,100.0%,18,9.0,0,1,14,9.0,1.0,9.0,0,KirkKe00
408,Anthony McFarland Jr.,PIT,23,RB,1,0,2,2,100.0%,11,5.5,0,1,12,5.5,2.0,11.0,0,McFaAn00
409,Sean McKeon,DAL,25,TE,10,0,3,2,66.7%,11,5.5,0,1,10,3.7,0.2,1.1,0,McKeSe01
410,Jalen Nailor,MIN,23,WR,12,0,5,2,40.0%,28,14.0,0,2,15,5.6,0.2,2.3,0,NailJa00
411,Dezmon Patmon,IND,24,WR,1,0,6,2,33.3%,24,12.0,0,1,17,4.0,2.0,24.0,0,PatmDe00
412,Adam Prentice,NOR,25,FB,8,1,2,2,100.0%,5,2.5,0,1,3,2.5,0.3,0.6,1,PrenAd00
413,Kyle Rudolph,TAM,33,TE,6,0,4,2,50.0%,20,10.0,0,1,12,5.0,0.3,3.3,0,RudoKy00
414,Drew Sample,CIN,26,TE,2,2,2,2,100.0%,-2,-1.0,0,0,2,-1.0,1.0,-1.0,0,SampDr00
415,Braylon Sanders,MIA,23,WR,2,0,3,2,66.7%,17,8.5,0,0,13,5.7,1.0,8.5,1,SandBr00
416,Mason Schreck,HOU,29,TE,3,1,2,2,100.0%,6,3.0,0,0,6,3.0,0.7,2.0,0,SchrMa00
